learning_rate_1_x,learning_rate_1_val_acc,learning_rate_1_val_loss,learning_rate_1_train_acc,learning_rate_1_train_loss,learning_rate_0.1_x,learning_rate_0.1_val_acc,learning_rate_0.1_val_loss,learning_rate_0.1_train_acc,learning_rate_0.1_train_loss,learning_rate_0.01_x,learning_rate_0.01_val_acc,learning_rate_0.01_val_loss,learning_rate_0.01_train_acc,learning_rate_0.01_train_loss,learning_rate_0.001_x,learning_rate_0.001_val_acc,learning_rate_0.001_val_loss,learning_rate_0.001_train_acc,learning_rate_0.001_train_loss,learning_rate_0.0001_x,learning_rate_0.0001_val_acc,learning_rate_0.0001_val_loss,learning_rate_0.0001_train_acc,learning_rate_0.0001_train_loss,"learning_rate_{'lr': 0.1, 'gamma': 0.1, 'stepsize': 5}_x","learning_rate_{'lr': 0.1, 'gamma': 0.1, 'stepsize': 5}_val_acc","learning_rate_{'lr': 0.1, 'gamma': 0.1, 'stepsize': 5}_val_loss","learning_rate_{'lr': 0.1, 'gamma': 0.1, 'stepsize': 5}_train_acc","learning_rate_{'lr': 0.1, 'gamma': 0.1, 'stepsize': 5}_train_loss","learning_rate_{'lr': 0.1, 'gamma': 0.5, 'stepsize': 5}_x","learning_rate_{'lr': 0.1, 'gamma': 0.5, 'stepsize': 5}_val_acc","learning_rate_{'lr': 0.1, 'gamma': 0.5, 'stepsize': 5}_val_loss","learning_rate_{'lr': 0.1, 'gamma': 0.5, 'stepsize': 5}_train_acc","learning_rate_{'lr': 0.1, 'gamma': 0.5, 'stepsize': 5}_train_loss","learning_rate_{'lr': 0.01, 'gamma': 0.1, 'stepsize': 5}_x","learning_rate_{'lr': 0.01, 'gamma': 0.1, 'stepsize': 5}_val_acc","learning_rate_{'lr': 0.01, 'gamma': 0.1, 'stepsize': 5}_val_loss","learning_rate_{'lr': 0.01, 'gamma': 0.1, 'stepsize': 5}_train_acc","learning_rate_{'lr': 0.01, 'gamma': 0.1, 'stepsize': 5}_train_loss"
0.65,74.47105788423154,0.5676771619103171,79.33466733366683,0.5114088840782642,0.65,79.22155688622755,0.5198182517831976,86.76838419209605,0.46607534512877463,0.65,70.79840319361277,0.6254579533230175,73.98199099549775,0.6159115538001061,0.65,54.57085828343313,0.6895371783863414,56.06303151575788,0.688676369190216,0.65,48.64271457085828,0.6940521056001837,50.3551775887944,0.6937483564019203,0.65,77.9441117764471,0.5274938209490343,85.21260630315157,0.4779947593808174,0.65,78.16367265469061,0.5363904779607599,85.70785392696348,0.4738569788634777,0.65,71.3373253493014,0.6283765218474648,73.53176588294147,0.6177614673972129
1.65,75.60878243512974,0.5556128025054932,85.1175587793897,0.462873425334692,1.65,78.3433133732535,0.5242479606108232,92.23611805902951,0.41266524270176885,1.65,78.52295409181637,0.5366578698158264,85.0375187593797,0.4948763743042946,1.65,62.71457085828343,0.6819127202033997,63.92196098049025,0.6788338512182236,1.65,48.622754491017965,0.6943439516154203,50.50025012506253,0.6928125709295273,1.65,78.98203592814372,0.5228883678262884,92.57128564282141,0.41112365275621415,1.65,78.52295409181637,0.5247023755853827,92.48624312156078,0.41137021258473394,1.65,78.62275449101796,0.5428062135523016,84.87243621810906,0.49757289588451387
2.65,77.50499001996008,0.5255261876366355,92.76638319159579,0.3897856317460537,2.65,76.64670658682634,0.5354200439019636,94.13206603301651,0.38397955521941185,2.65,80.13972055888223,0.5189782164313577,89.51475737868934,0.44841176867485044,2.65,64.9500998003992,0.6696874932809309,66.57828914457228,0.6644672065973282,2.65,49.70059880239521,0.692878165028312,51.5207603801901,0.692047493159771,2.65,77.04590818363273,0.5299489498138428,94.59729864932466,0.3795485310256481,2.65,77.42514970059881,0.5515997572378679,94.53226613306653,0.3787685424089432,2.65,79.32135728542914,0.5328278379006819,89.48474237118559,0.4493443086743355
3.65,76.24750499001996,0.540403046391227,94.69234617308655,0.3726062998175621,3.65,75.88822355289422,0.5396647453308105,94.37718859429715,0.37399319410324094,3.65,79.96007984031937,0.5010298409245231,92.23111555777889,0.4226324647665024,3.65,69.18163672654691,0.6492074998942289,70.74537268634317,0.6458784863352776,3.65,51.45708582834332,0.6935558373277838,52.96648324162081,0.6913115695118904,3.65,75.90818363273453,0.5420644337480719,94.4072036018009,0.37372850701212884,3.65,75.60878243512974,0.5461753281680021,95.59779889944973,0.3649824306368828,3.65,79.56087824351297,0.5252354741096497,92.03101550775388,0.42351682782173156
4.65,76.52694610778443,0.5318704355846752,95.31765882941471,0.3625865288078785,4.65,76.32734530938124,0.534051775932312,96.62831415707853,0.35569278821349143,4.65,79.32135728542914,0.5123557529666207,93.67183591795897,0.4052148699760437,4.65,71.1377245508982,0.6377548358657144,73.57178589294648,0.6245538681745529,4.65,52.43512974051896,0.6926987821405585,54.69234617308654,0.6905860632658005,4.65,75.96806387225548,0.5352421484210275,96.28814407203602,0.35804588422179223,4.65,74.91017964071857,0.5387053787708282,95.61780890445223,0.3660143159329891,4.65,78.82235528942115,0.5104828991673209,93.49674837418709,0.4065756738185883
5.65,75.44910179640719,0.541837605563077,95.42771385692846,0.35911455377936363,5.65,75.72854291417165,0.5317558619109067,97.48374187093546,0.3477971337735653,5.65,78.78243512974052,0.5087461769580841,94.98749374687344,0.39102647826075554,5.65,72.71457085828344,0.609612681648948,76.32816408204103,0.6027352675795555,5.65,53.41317365269461,0.6913226030089639,55.78289144572286,0.6897855117917061,5.65,76.00798403193613,0.526447369293733,97.3536768384192,0.3524464890360832,5.65,75.82834331337325,0.5462071299552917,97.95897948974488,0.34341239407658575,5.65,78.8622754491018,0.5289379087361422,94.4672336168084,0.3978591598570347
6.65,75.84830339321357,0.5523011250929399,95.51775887943973,0.3595281273126602,6.65,75.22954091816368,0.5563303286379034,97.71885942971485,0.3427335247397423,6.65,78.54291417165669,0.52704242142764,96.048024012006,0.37988952174782753,6.65,74.21157684630738,0.5993040800094604,78.4992496248124,0.5822335958480835,6.65,54.510978043912175,0.6905337084423412,56.813406703351674,0.6889656156301498,6.65,76.26746506986028,0.5417503064328973,98.2391195597799,0.3439031630754471,6.65,74.8502994011976,0.5455610210245306,98.97448724362181,0.3327618956565857,6.65,78.8622754491018,0.5145741321823813,94.65232616308154,0.3961817897856236
7.65,75.30938123752495,0.5383968001062219,95.967983991996,0.3547869764268398,7.65,74.73053892215569,0.5436989177357067,97.86393196598299,0.3394066385924816,7.65,77.86427145708583,0.5186866196719083,96.82341170585293,0.37097506076097486,7.65,75.48902195608783,0.5885331955823031,80.24012006003001,0.5638449728488922,7.65,55.78842315369261,0.6903623234141957,58.06903451725863,0.6881160020828248,7.65,76.24750499001996,0.5326806577769193,98.69434717358679,0.3387753404676914,7.65,74.89021956087825,0.5503096634691412,99.36468234117059,0.32682560607790945,7.65,78.74251497005989,0.5164938812906091,94.81240620310155,0.39469703659415245
8.65,74.81037924151697,0.5442628047683022,96.10305152576288,0.35150354728102684,8.65,74.3313373253493,0.5526190941984003,97.72886443221611,0.34142719134688376,8.65,77.26546906187625,0.5245446969162334,97.46873436718359,0.36374293863773344,8.65,75.9880239520958,0.5737398862838745,81.74587293646823,0.5479159131646156,8.65,56.48702594810379,0.6906753995201804,58.97448724362181,0.6872232899069786,8.65,76.14770459081836,0.5337170254100453,98.99449724862431,0.33496747314929964,8.65,74.63073852295409,0.556588124145161,99.4447223611806,0.3245107397437096,8.65,78.6626746506986,0.5227449427951466,94.8824412206103,0.39303834587335584
9.65,74.67065868263474,0.5705270767211914,96.5432716358179,0.35080376714468003,9.65,74.29141716566866,0.5742123343727805,98.32916458229114,0.3334679313004017,9.65,76.86626746506985,0.5483591285618868,98.02901450725362,0.3567287318408489,9.65,77.12574850299401,0.5776910619302229,82.99649824912456,0.5339266210794449,9.65,57.48502994011976,0.6866171251643788,59.79489744872436,0.6863041013479233,9.65,75.78842315369262,0.5603522170673717,99.25462731365683,0.3317034587264061,9.65,74.53093812375249,0.5738200057636608,99.5447723861931,0.32221307829022405,9.65,78.64271457085829,0.5339725017547607,95.04252126063031,0.3916093073785305
